[2025-02-03 17:48:16,669 web_scraper.py->__init__():65]INFO: LinkedIn Scraper Class Initiated
[2025-02-03 17:48:18,141 web_scraper.py->setup_driver():98]INFO: WebDriver Initialized
[2025-02-03 17:48:26,596 web_scraper.py->_linkedin_login():173]INFO: Login Successful
[2025-02-03 17:48:58,089 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:48:58,097 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:48:58,098 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:48:58,098 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:48:58,099 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:48:58,099 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:48:58,099 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:48:58,099 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:48:58,099 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:48:58,241 web_scraper.py->download_image():434]INFO: Downloaded: 1_1738312196716.png
[2025-02-03 17:48:58,288 web_scraper.py->download_image():434]INFO: Downloaded: 1_1738312196922.png
[2025-02-03 17:48:58,320 web_scraper.py->download_image():434]INFO: Downloaded: 1_1738312196977.png
[2025-02-03 17:48:58,358 web_scraper.py->download_image():434]INFO: Downloaded: 1_1738312196468.png
[2025-02-03 17:48:58,359 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:48:58,359 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:48:58,360 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:48:58,360 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:48:58,360 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:48:58,361 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:48:58,396 web_scraper.py->download_image():434]INFO: Downloaded: 3_1737555174045.png
[2025-02-03 17:48:58,397 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:48:58,397 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:48:58,398 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:48:58,398 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:48:58,399 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:48:58,399 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:48:58,399 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:48:58,399 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:48:58,399 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:48:58,433 web_scraper.py->download_image():434]INFO: Downloaded: 5_1737635022675.png
[2025-02-03 17:48:58,466 web_scraper.py->download_image():434]INFO: Downloaded: 5_1737635022735.png
[2025-02-03 17:48:58,501 web_scraper.py->download_image():434]INFO: Downloaded: 5_1737635023102.png
[2025-02-03 17:48:58,541 web_scraper.py->download_image():434]INFO: Downloaded: 5_1737635023231.png
[2025-02-03 17:48:58,542 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:48:58,542 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:48:58,543 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:48:58,543 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:48:58,543 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:48:58,544 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:48:58,544 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:48:58,544 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:48:58,544 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:48:58,815 web_scraper.py->download_image():434]INFO: Downloaded: 7_1734086237986.png
[2025-02-03 17:48:59,085 web_scraper.py->download_image():434]INFO: Downloaded: 7_1734086237093.png
[2025-02-03 17:48:59,513 web_scraper.py->download_image():434]INFO: Downloaded: 7_1734086239665.png
[2025-02-03 17:48:59,919 web_scraper.py->download_image():434]INFO: Downloaded: 7_1734086238947.png
[2025-02-03 17:48:59,920 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:48:59,921 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:48:59,921 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:48:59,922 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
